SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b,TREND
15065.2,1,1,0,1,1,0,0,0
1509.2,1,1,0,0,1,0,1,1
1130.6,1,1,0,1,1,1,0,1
3258.6,0,0,0,1,1,1,0,0
32546.0,0,0,1,0,0,0,0,0
2714.1,0,0,1,1,0,0,1,0
1314.0,0,0,1,0,0,0,1,1
2328.5,0,0,0,0,1,0,1,0
3303.8,1,1,1,1,0,0,1,1
1283.9,1,1,1,1,0,0,1,1
2338.2,0,0,1,0,0,1,1,1
3480.7,1,1,1,1,0,1,0,0
2763.3,1,1,0,1,1,0,0,0
1587.1,1,1,0,0,1,0,0,1
31341.0,0,0,0,0,1,0,0,1
1478.7,0,1,1,0,0,0,1,1
2136.7,0,0,0,0,1,1,1,0
1717.4,1,1,0,0,1,0,0,0
2616.3,0,0,1,0,0,0,0,0
4689.6,1,1,0,0,1,0,1,0
2537.5,1,1,0,1,1,1,0,1
1636.6,0,0,0,0,1,0,1,1
1727.2,1,0,1,1,0,1,0,0
1578.9,0,0,1,0,0,0,1,0
1216.4,0,0,0,0,0,0,0,1
17802.7,0,0,1,1,0,0,1,1
5846.1,0,0,1,0,0,0,1,0
2636.0,1,1,0,1,1,0,0,1
1901.6,1,0,1,1,0,0,0,0
2019.1,1,1,1,0,0,1,1,0
32171.0,0,0,1,0,0,0,0,0
4575.2,0,0,1,0,0,0,0,0
2777.0,1,1,0,1,1,0,0,0
14520.3,0,1,1,0,0,0,0,1
2758.0,1,1,0,0,0,0,1,0
2635.7,0,0,1,0,0,1,1,0
3754.3,0,0,1,1,0,0,1,1
4821.1,0,0,1,0,0,1,1,1
2018.1,0,0,1,1,0,0,0,1
1719.6,0,0,1,0,0,1,1,0
1766.9,1,1,0,1,1,1,0,1
1933.6,1,1,1,1,0,1,0,0
1333.4,0,0,0,0,1,1,0,0
17939.1,0,0,1,0,0,1,1,1
2222.5,0,0,1,0,0,1,1,1
18659.0,1,1,1,0,0,0,0,0
3487.1,1,1,0,1,1,0,0,1
14098.5,0,0,0,1,1,1,0,1
1275.3,0,0,0,0,1,0,0,0
3360.3,0,0,1,0,0,1,1,0
4082.2,1,1,1,0,0,0,1,1
2029.6,0,0,0,1,0,0,0,0
32102.0,0,0,0,0,1,0,1,1
1604.0,0,0,0,0,1,0,0,1
2747.7,0,0,0,0,1,1,1,0
35936.0,1,1,0,1,1,0,0,1
4317.4,1,1,1,1,0,0,0,1
1463.2,1,1,0,1,1,1,1,0
1441.9,0,0,1,0,0,0,1,0
3787.1,0,0,1,0,0,0,0,1
2678.3,0,0,1,0,0,1,1,1
1277.6,0,0,0,0,0,0,0,1
1148.1,0,0,1,1,0,1,1,0
1244.0,0,0,0,0,1,0,1,1
3997.8,1,1,0,1,1,0,0,1
2556.4,0,0,0,0,1,0,0,0
2556.0,0,0,0,1,1,1,0,0
4712.3,1,1,0,1,1,0,0,1
26427.0,1,1,0,1,1,0,1,1
2423.7,0,0,1,0,0,1,1,1
1027.3,0,0,0,0,0,0,1,1
2406.1,0,0,0,0,1,0,0,1
2804.3,1,1,0,0,1,0,0,0
1453.7,1,1,1,1,0,0,1,1
2523.0,1,1,1,0,0,0,1,0
2903.6,0,0,0,0,1,1,0,0
2298.5,0,0,1,0,0,0,0,1
7285.4,1,1,0,0,1,0,0,0
1279.3,1,1,0,1,1,1,0,0
2085.9,0,0,0,0,1,1,0,1
1773.3,0,0,0,1,1,1,0,1
2047.2,1,1,0,1,1,1,0,0
1371.1,1,1,0,1,1,1,0,0
1128.4,1,1,1,1,0,0,0,0
1764.3,0,0,1,0,0,0,1,1
2445.2,1,1,0,0,1,1,0,0
2190.6,1,1,1,0,0,1,1,1
2451.4,0,0,0,0,1,1,1,0
1495.1,0,0,1,0,0,0,0,1
2234.9,1,1,1,1,0,0,1,1
2153.8,0,0,1,0,0,0,1,0
31931.0,0,0,0,0,0,0,1,0
2780.1,1,1,1,0,0,0,1,0
3580.8,0,0,1,0,0,0,1,0
2417.1,1,1,1,1,0,0,1,0
2208.5,0,0,1,0,0,1,1,0
2395.6,1,1,1,1,0,1,0,1
2417.1,1,1,1,1,0,0,1,0
1735.7,1,1,0,1,1,0,0,1
2812.2,0,0,1,0,0,0,1,1
27358.0,1,1,0,1,1,0,0,1
2169.0,1,1,0,0,1,1,0,1
1611.7,0,0,1,0,0,1,1,0
2626.4,0,1,0,0,1,1,1,0
2098.1,1,1,0,1,1,0,0,0
1200.6,1,1,0,0,1,0,0,1
3703.5,0,0,1,0,0,0,1,0
2062.7,0,0,0,0,1,0,0,0
2832.3,0,0,1,0,0,0,1,1
3517.7,1,1,0,1,1,1,0,1
8519.0,1,1,0,1,1,1,0,0
2362.4,1,1,0,0,1,0,0,0
3126.9,1,1,0,1,1,0,0,0
2027.3,1,1,1,1,0,0,1,0
2543.5,1,1,0,1,1,1,0,0
3126.9,1,1,0,1,1,0,0,0
1621.1,0,0,1,1,0,0,0,1
1274.1,1,1,0,1,1,0,0,1
2636.0,1,1,0,1,1,0,0,1
1803.9,1,1,0,1,1,0,0,0
11451.0,1,1,1,1,0,0,0,1
2463.5,1,1,1,1,0,0,0,1
1913.7,1,1,0,1,1,0,0,0
1138.3,1,1,0,1,1,1,1,0
3387.9,1,1,1,1,0,0,1,0
14505.7,1,1,0,1,1,1,0,1
3548.5,0,0,1,0,0,0,1,0
3258.4,1,0,0,1,1,0,0,1
2371.9,0,0,0,0,1,0,0,1
1772.4,1,1,0,1,1,1,0,1
1213.4,0,0,1,0,0,1,0,1
1112.3,1,1,0,1,1,1,1,0
2386.4,0,0,1,0,0,0,0,1
1463.2,1,1,0,1,1,1,1,0
2208.3,1,1,0,0,1,1,0,1
1182.7,0,0,0,0,1,0,1,0
2597.6,0,1,0,0,1,1,1,0
2636.0,1,1,0,1,1,0,0,1
1621.1,0,0,1,1,0,0,0,1
6017.3,0,0,1,0,0,0,1,0
1592.0,1,1,1,1,0,0,1,1
3880.2,0,0,1,0,0,0,0,0
2844.8,1,1,0,1,1,0,0,0
32517.0,1,1,1,1,0,1,1,1
1537.7,1,1,0,1,1,0,0,0
1782.5,0,0,0,0,1,0,0,1
2252.1,0,0,0,0,1,1,0,0
1340.5,0,0,0,0,1,0,1,1
2148.0,0,0,0,0,1,1,1,0
2540.3,1,1,0,0,1,1,1,1
39995.0,0,1,1,0,0,0,1,0
1205.8,0,0,0,0,1,0,0,0
6438.6,0,1,0,0,1,0,1,0
2491.6,1,1,0,0,1,1,0,0
2044.0,1,1,1,1,0,0,1,1
1195.9,1,0,1,1,0,0,0,1
1195.9,1,0,1,1,0,0,0,1
4569.8,1,1,1,1,0,0,0,0
2642.5,0,0,0,0,1,1,0,1
1437.2,0,0,0,0,1,1,0,1
1476.6,1,1,1,1,0,0,1,1
1782.0,1,1,0,0,0,1,1,0
2616.3,0,0,1,0,0,0,0,0
2395.9,1,1,1,1,0,0,0,1
4512.4,1,1,0,0,1,0,0,0
2096.5,0,0,0,0,1,1,0,0
2394.7,0,0,1,0,0,0,1,0
2440.2,1,1,0,1,1,0,0,0
1905.1,0,0,1,0,0,1,1,1
2051.7,1,1,0,1,1,0,0,1
2518.8,1,0,0,1,1,0,0,1
1837.3,1,0,0,1,1,0,0,1
2650.1,1,1,1,1,0,1,1,0
2666.2,0,0,1,0,0,1,1,0
1099.6,1,1,0,1,1,0,0,0
1160.2,0,0,0,1,1,1,0,1
2005.8,1,1,1,1,0,0,0,1
4441.8,1,1,0,1,1,1,0,1
2656.8,1,1,1,1,0,0,1,1
2730.9,0,1,0,0,1,0,0,0
3396.8,1,1,1,1,0,0,1,0
1512.7,0,1,1,0,0,1,1,0
4589.4,1,0,0,0,1,1,0,1
1706.3,0,0,1,0,0,1,1,1
2729.8,0,0,0,1,1,1,0,1
1651.3,1,1,0,1,1,1,0,1
2666.3,1,1,1,1,0,0,1,1
