SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b
7697.2,0,0,1,0,0,0,1
7603.9,0,0,1,0,0,0,1
7519.1,0,0,1,0,0,1,1
7471.6,0,0,1,0,0,0,1
7450.8,0,0,1,0,0,0,0
7443.9,0,0,0,0,1,1,0
7405.1,0,0,0,0,1,0,0
7377.6,0,0,1,0,0,0,1
7372.9,0,0,1,0,0,1,1
7381.2,0,0,0,1,1,0,0
7388.2,0,0,0,1,1,0,0
7386.5,0,0,0,0,1,1,0
7353.8,0,0,1,0,0,1,1
7315.2,0,0,1,0,0,0,1
7298.8,0,0,1,0,0,1,1
7290.4,0,0,0,0,1,0,0
7301.3,0,0,0,1,1,1,0
7318.3,0,0,0,1,1,0,0
7317.7,0,0,0,0,1,1,0
7304.7,0,0,0,0,1,0,1
7284.7,0,0,0,0,1,1,1
7261.4,0,0,0,0,1,1,1
7224.9,0,0,1,0,0,1,1
7160.5,0,0,1,0,0,0,1
7076.2,0,0,1,0,0,1,1
6999.0,0,0,1,0,0,1,1
6952.4,0,0,1,0,0,0,1
6932.4,0,0,0,0,1,1,0
6902.1,0,0,1,0,0,0,1
6907.3,0,0,0,0,1,1,0
6897.7,0,0,1,0,0,0,0
6899.8,0,0,1,1,0,1,1
6922.8,0,0,0,1,1,1,0
6973.0,1,0,1,1,0,0,1
7039.9,1,1,0,1,1,0,0
7098.4,1,1,1,1,0,0,0
7130.3,1,1,1,1,0,1,1
7144.8,1,1,1,1,0,0,0
7195.3,1,1,0,1,1,1,0
7233.6,1,1,0,1,1,1,0
7267.8,1,1,0,1,1,0,0
7294.7,1,1,1,1,0,1,1
7324.6,1,1,0,1,1,1,0
7353.9,1,1,1,1,0,0,1
7376.3,1,1,1,1,0,0,0
7404.3,1,1,0,1,1,1,0
7406.2,1,1,0,0,1,0,1
7390.0,1,1,1,0,0,0,1
7349.8,1,1,0,0,1,1,1
7288.2,0,1,1,0,0,1,1
7257.2,0,0,0,0,1,0,1
7227.0,0,0,0,0,1,0,1
7191.4,0,0,1,0,0,1,1
7164.0,0,0,0,0,1,0,0
7119.6,0,0,0,0,1,1,0
7056.0,0,0,1,0,0,0,0
7022.1,0,0,1,0,0,1,1
